product_id,price,discount_percentage,sold_count,rating,review_count,total_stock,category,brand_name_guess,province,price_band
100449308307,48999,0,1,0,0,3,Face Mist,Glad2glow Pomegranate,Jawa Tengah,<50k
100354276705,6666,0,229,0,0,887,Face Mist,Moisturizer,Jawa Timur,<50k
16056109089,143550,0.42,645,4.9,204,167651,Krim Wajah,Glad2glow,Banten,100–199k
100270816350,38990,0,2,0,0,2,Face Mist,Glad2glow Moisturizer,Jawa Timur,<50k
100031402058,16140,0,1521,4.8,163,262,Face Mist,Marina,Jawa Barat,<50k
100072198148,53270,0.44,130,4.7,24,304,Face Mist,Glowsophy,Jawa Timur,50–99k
100331298002,34860,0.17,47,5,10,66,Face Mist,Emina Water,Jawa Barat,<50k
102128508552,45000,0,285,4.8,29,1,Face Mist,Glowsophy,Jawa Timur,<50k
100105922921,42000,0.58,22473,4.9,3086,78032,Face Mist,Acnaway,DKI Jakarta,<50k
100070954050,43000,0,97,5,31,457,Krim Wajah,Azarine,Banten,<50k
100362242686,48500,0,17,4.8,4,482,Face Mist,Glowsophy,Jawa Tengah,<50k
15568213565,18500,0,139,4.8,28,332,Face Mist,Pigeon,Banten,<50k
100205651815,39999,0,1,0,0,9,Face Mist,Glad2glow Blueberry,Jawa Tengah,<50k
15631115189,38000,0,22,5,8,3,Krim Wajah,Hanasui Ceramide Probiotics,Kalimantan Timur,<50k
11460916204,51000,0.07,219,5,68,28,Krim Wajah,Azarine,DI Yogyakarta,50–99k
102084501052,42000,0.2,9,4.5,2,9157,Face Mist,Emina,Jawa Barat,<50k
100026324601,71700,0.19,1321,4.9,127,341,Face Mist,Camille,DKI Jakarta,50–99k
100262506547,37000,0.46,51,5,4,40,Face Mist,Glowsophy,Jawa Timur,<50k
12021375231,44500,0,181,4.9,54,569,Krim Wajah,Azarine,Sumatera Utara,<50k
16055758886,34230,0.73,605,4.9,210,86283,Krim Wajah,Glad2glow,Banten,<50k
100071377935,143100,0.1,56860,4.9,4005,54239,Paket Perawatan Wajah,Nyyo Cosmetics,Jawa Timur,100–199k
100255994967,110500,0.15,6320,4.9,1171,24055,Face Mist,Whitelab,DKI Jakarta,100–199k
100070261584,30000,0.57,8600,4.9,1316,93832,Face Mist,Mireya Cosmetics,Jawa Barat,<50k
15863881939,57000,0.21,256,5,48,411,Paket Perawatan Wajah,Glad2glow Pomegranate,Banten,50–99k
100417498747,13500,0,3,0,0,197,Face Mist,Skin Aqua,Jawa Barat,<50k
100292294864,69900,0.21,498624,4.9,10373,4024,Sunblock wajah,Facetologystore,Banten,50–99k
100071576638,28750,0.12,332652,4.9,23539,33990,Sunblock wajah,Hanasui,Banten,<50k
100518198883,30730,0.68,175376,4.8,16267,31,Sunblock wajah,Scora,Banten,<50k
100492971508,57960,0.37,58381,4.9,10746,4647,Sunblock wajah,Amaterasun,Banten,50–99k
100292294862,125900,0.6,384,4.8,37,311,Sunblock wajah,Facetologystore,Banten,100–199k
100492971471,66360,0.33,77227,4.9,12898,3973,Sunblock wajah,Amaterasun,Banten,50–99k
100492971462,49560,0.37,31957,4.9,5758,2611,Sunblock wajah,Amaterasun,Banten,<50k
100101740129,114900,0.76,26155,4.8,2533,1905,Sunblock Badan,Vibrant Glamour Global Shop New,DKI Jakarta,100–199k
4384969120,48450,0.05,3476,5,1104,14,Sunblock wajah,Azarine,Jawa Timur,<50k
100273830768,92000,0.67,55674,4.9,5613,19016,Sunblock wajah,Elformula,DKI Jakarta,50–99k
14888795801,83810,0.44,47419,4.9,4669,113,Sunblock wajah,Azarine,Jawa Timur,50–99k
100560699477,38900,0.22,825,5,224,36,Sunblock wajah,Azarine,DI Yogyakarta,<50k
100073619586,75900,0.51,36,5,2,65,Sunblock wajah,Facetology,Jawa Tengah,50–99k
100108689184,48300,0.3,1347,4.8,136,15,Sunblock wajah,Facetology,Jawa Tengah,<50k
100176175291,33600,0.44,1469,4.4,136,1698,Sunblock Badan,Barubt,Banten,<50k
100276595093,70673,0.21,163,4.8,9,94,Sunblock wajah,Facetology,Sumatera Utara,50–99k
11461000383,752500,0,1,5,1,2,Sunblock wajah,Lmdshop.,Jawa Barat,350k+
2134813295,49500,0.02,4104,5,1266,40,Sunblock wajah,Azarine,Jawa Barat,<50k
100153893927,69999,0.53,9804,4.8,1334,274,Sunblock wajah,Facetology,Jawa Tengah,50–99k
100836529502,39960,0.6,2183,4.7,163,16533,Sunblock wajah,Facetology,Jawa Timur,<50k
100066125197,100000,0.33,88702,4.9,6312,30196,Sunblock wajah,Harlett,Banten,100–199k
100198632813,72500,0,7153,4.9,959,9344,Sunblock wajah,Sunscreen,DKI Jakarta,50–99k
100251035314,42600,0.35,36,5,1,710,Sunblock wajah,Barubt,Banten,<50k
100321754522,57736,0.36,366,4.8,39,119,Sunblock wajah,Azarine,DKI Jakarta,50–99k
100271293551,30811,0.21,69645,4.9,7948,1426,Sunblock wajah,Azarine,Jawa Timur,<50k
100454146837,59000,0,689,0,0,290,Sunblock wajah,Azarine,DI Yogyakarta,50–99k
